Date,SPY,TLT,GLD,GDX,EMB,SPXL,TMF,SHY
2009-06-23,73.46598815917969,69.54209899902344,90.91999816894531,35.05252456665039,56.53599166870117,2.1175079345703125,8.14549732208252,76.14842224121094
2009-06-24,74.0990982055664,68.84425354003906,91.44999694824219,36.141754150390625,56.864166259765625,2.1672117710113525,7.840746879577637,76.1392593383789
2009-06-25,75.71066284179688,70.10635375976562,92.30999755859375,37.55024337768555,56.9136962890625,2.309513807296753,8.371537208557129,76.28518676757812
2009-06-26,75.5133056640625,70.22515869140625,92.29000091552734,36.80843734741211,57.7806510925293,2.293853282928467,8.419974327087402,76.32164001464844
2009-06-29,76.22042846679688,70.32908630371094,92.04000091552734,36.76149368286133,58.077884674072266,2.359217643737793,8.430063247680664,76.32164001464844
2009-06-30,75.60377502441406,70.21028137207031,91.18000030517578,35.50324249267578,58.25746536254883,2.312237024307251,8.379610061645508,76.31258392333984
2009-07-01,75.91622924804688,70.07100677490234,92.38999938964844,37.0056266784668,58.35888671875,2.3387911319732666,8.288789749145508,76.38739776611328
2009-07-02,73.84418487548828,70.23485565185547,91.25,35.97273635864258,58.340206146240234,2.1461048126220703,8.379610061645508,76.46952819824219
2009-07-06,73.83598327636719,70.100830078125,90.76000213623047,34.68631362915039,58.15969467163086,2.139296054840088,8.282733917236328,76.49691772460938
2009-07-07,72.40528106689453,70.57003784179688,90.70999908447266,34.28255081176758,57.9294548034668,2.0126538276672363,8.466394424438477,76.48778533935547
2009-07-08,72.35597229003906,71.87347412109375,89.2699966430664,33.043087005615234,57.71786117553711,2.0126538276672363,8.993144035339355,76.60649108886719
2009-07-09,72.49571990966797,71.01691436767578,89.51000213623047,33.15576934814453,57.38798141479492,2.018781900405884,8.589503288269043,76.5699691772461
2009-07-10,72.32306671142578,71.67232513427734,89.58000183105469,32.99613571166992,58.03528594970703,2.005845308303833,8.914433479309082,76.64299774169922
2009-07-13,74.08262634277344,71.27014923095703,90.19000244140625,33.73793411254883,58.11618423461914,2.1474664211273193,8.70454216003418,76.59734344482422
2009-07-14,74.5019760131836,70.08589935302734,90.80999755859375,34.517295837402344,58.209510803222656,2.190361261367798,8.222187995910645,76.54254913330078
2009-07-15,76.68087005615234,68.28350067138672,92.23999786376953,35.95396423339844,58.128623962402344,2.381005048751831,7.540034294128418,76.3599853515625
2009-07-16,76.55755615234375,69.02084350585938,91.9800033569336,35.991519927978516,58.56428527832031,2.448411464691162,7.832674026489258,76.4786605834961
2009-07-17,77.3962173461914,67.95574951171875,91.93000030517578,36.28260040283203,58.65138626098633,2.447049379348755,7.487560749053955,76.45124053955078
2009-07-20,78.21843719482422,68.31329345703125,93.27999877929688,37.775596618652344,58.87543487548828,2.5260305404663086,7.58241605758667,76.44215393066406
2009-07-21,78.58023071289062,69.67630004882812,93.12999725341797,37.31549072265625,59.205299377441406,2.5593929290771484,8.09705924987793,76.53345489501953
2009-07-22,78.56378173828125,69.05061340332031,93.44000244140625,37.343666076660156,59.39201736450195,2.564840316772461,7.8468017578125,76.49691772460938
2009-07-23,80.29867553710938,67.78446960449219,93.26000213623047,37.522071838378906,59.342227935791016,2.738461971282959,7.35435676574707,76.3599853515625
2009-07-24,80.6275634765625,68.11216735839844,93.41000366210938,37.465736389160156,59.61606216430664,2.772505760192871,7.463341236114502,76.40557861328125
2009-07-27,80.86601257324219,67.33012390136719,93.70999908447266,37.418785095214844,59.96460723876953,2.7976982593536377,7.21712064743042,76.35088348388672
2009-07-28,80.48780059814453,67.92596435546875,92.11000061035156,36.01029586791992,59.977012634277344,2.7813572883605957,7.433069229125977,76.30522918701172
2009-07-29,80.29045867919922,68.29839324951172,91.19999694824219,34.91167449951172,59.628509521484375,2.733015537261963,7.548106670379639,76.25958251953125
2009-07-30,81.129150390625,69.26658630371094,91.62000274658203,35.831886291503906,59.78411102294922,2.821528673171997,7.9174370765686035,76.26873779296875
2009-07-31,81.24422454833984,70.61471557617188,93.3499984741211,37.343666076660156,60.070377349853516,2.8296990394592285,8.403829574584961,76.3965072631836
2009-08-03,82.58447265625,69.5445785522461,93.87000274658203,38.282657623291016,60.62689971923828,2.9706389904022217,7.969913482666016,76.28861999511719
2009-08-04,82.79823303222656,68.9915542602539,94.68000030517578,38.5737419128418,60.42681884765625,2.9999167919158936,7.772128105163574,76.22467803955078
2009-08-05,82.559814453125,67.96026611328125,94.77999877929688,38.45166778564453,61.070804595947266,2.9706389904022217,7.352341651916504,76.19725036621094
2009-08-06,82.13227081298828,68.19190216064453,94.5999984741211,38.35777282714844,61.270912170410156,2.9284253120422363,7.457284927368164,76.19725036621094
2009-08-07,83.2093505859375,67.62397766113281,93.75,37.54085159301758,61.2334098815918,3.046215772628784,7.209049224853516,76.06925964355469
2009-08-10,83.03668975830078,68.46846771240234,92.93000030517578,36.71453857421875,61.11459732055664,3.0210235118865967,7.525907516479492,76.18812561035156
2009-08-11,82.00069427490234,69.26060485839844,92.79000091552734,36.085418701171875,61.0958251953125,2.9127655029296875,7.8367109298706055,76.27037811279297
2009-08-12,82.88044738769531,68.52073669433594,92.94999694824219,36.42345428466797,60.92702102661133,3.012172222137451,7.489579677581787,76.29779815673828
2009-08-13,83.51358795166016,69.49224090576172,93.72000122070312,37.44695281982422,60.595645904541016,3.0727696418762207,7.905330181121826,76.42576599121094
2009-08-14,82.87226104736328,69.76131439208984,93.0,36.81782913208008,61.10835266113281,2.9958314895629883,7.986056327819824,76.4806137084961
2009-08-17,80.8331298828125,70.79256439208984,91.61000061035156,35.02435302734375,60.69565200805664,2.7745485305786133,8.30291748046875,76.56290435791016
2009-08-18,81.47447204589844,70.38151550292969,92.05999755859375,35.559574127197266,60.57059860229492,2.8494441509246826,8.1515531539917,76.54460906982422
2009-08-19,82.1897964477539,70.96449279785156,92.52999877929688,35.90700912475586,60.9457893371582,2.924339771270752,8.40786361694336,76.58116149902344
2009-08-20,83.03668975830078,71.54735565185547,92.2699966430664,36.254432678222656,60.87068176269531,3.008768081665039,8.639959335327148,76.56290435791016
2009-08-21,84.66471099853516,70.07518768310547,93.6500015258789,36.90233612060547,61.26469039916992,3.177623987197876,7.998167991638184,76.44404602050781
